Cell Ontology ID, Cell Ontology Label, Cytokine Ontology Label, Actor, Action Sentiment, NumPapers, Enrichment Score
CL_0000576,monocyte,IL6,cytokine,Positive,16,0.37
CL_0000775,neutrophil,CXCL2,cytokine,Positive,16,11.69
CL_0000625,"CD8-positive, alpha-beta T cell",IL12,cytokine,Unknown,16,5.28
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL17,cell,Positive,16,6.78
CL_0000969,regulatory B cell,IL10,cell,Positive,16,38.57
CL_0000066,epithelial cell,TGFB,cytokine,Negative,16,14.9
CL_0000576,monocyte,IL10,cytokine,Unknown,16,1.31
CL_0000775,neutrophil,IL17,cell,Positive,16,1.97
CL_0000236,B cell,IL7,cytokine,Positive,15,1.83
CL_0000545,T-helper 1 cell,IL10,cytokine,Unknown,15,5.23
CL_0000232,erythrocyte,EPO,cytokine,Positive,15,48.45
CL_0000235,macrophage,IL6,cytokine,Unknown,15,0.8
CL_0000236,B cell,IL5,cytokine,Positive,15,1.91
CL_0000556,megakaryocyte,THPO,cell,Positive,15,106.28
CL_0000738,leukocyte,CX3CL1,cytokine,Positive,15,12.79
CL_0000499,stromal cell,IL6,cell,Positive,15,4.52
CL_0000138,chondrocyte,IL1,cytokine,Positive,15,4.16
CL_0000236,B cell,CXCL13,cell,Positive,15,17.61
CL_0000775,neutrophil,IL1B,cytokine,Positive,15,0.76
CL_0000576,monocyte,IFNA,cell,Positive,15,1.38
CL_0000233,platelet,IL6,cell,Positive,15,1.41
CL_0000034,stem cell,CXCL12,cytokine,Positive,15,13.01
CL_0000771,eosinophil,TNF,cytokine,Positive,15,0.44
CL_0000775,neutrophil,IL6,cytokine,Negative,15,3.14
CL_0000038,erythroid progenitor cell,EPO,cytokine,Unknown,15,131.69
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",TGFB,cytokine,Unknown,15,5.57
CL_0000182,hepatocyte,IFNG,cytokine,Positive,15,0.66
CL_0000775,neutrophil,CSF2,cytokine,Negative,15,5.14
CL_0000097,mast cell,KITLG,cytokine,Unknown,15,167.1
CL_0000084,T cell,TGFB1,cytokine,Negative,15,1.69
CL_0000235,macrophage,TGFB,cytokine,Positive,15,0.25
CL_0000576,monocyte,IFNA,cytokine,Positive,15,0.94
CL_0000813,memory T cell,IFNG,cell,Positive,15,10.27
CL_0000624,"CD4-positive, alpha-beta T cell",IL10,cytokine,Unknown,15,2.06
CL_0000746,cardiac muscle cell,TNF,cell,Positive,15,5.28
CL_0000893,thymocyte,IL1,cytokine,Positive,15,6.45
CL_0000235,macrophage,IL1,cytokine,Unknown,15,1.46
CL_0000235,macrophage,IL4,cytokine,Negative,15,2.36
CL_0000581,peritoneal macrophage,IL1,cell,Positive,15,11.95
CL_0000129,microglial cell,IFNG,cytokine,Positive,15,0.95
CL_0000034,stem cell,CXCL12,cytokine,Unknown,15,45.52
CL_0000236,B cell,TNF,cytokine,Unknown,15,0.92
CL_0000182,hepatocyte,TGFB,cytokine,Unknown,15,7.13
CL_0000624,"CD4-positive, alpha-beta T cell",IL6,cell,Positive,15,0.86
CL_0000084,T cell,IL17,cytokine,Unknown,15,1.49
CL_0000182,hepatocyte,TGFB1,cell,Positive,15,4.3
CL_0000092,osteoclast,CSF1,cytokine,Unknown,15,25.23
CL_0000576,monocyte,IL1RN,cell,Positive,15,10.04
CL_0000540,neuron,FGF2,cytokine,Unknown,14,11.95
CL_0000775,neutrophil,IL1,cell,Positive,14,0.92
CL_0000214,synovial cell,TNF,cytokine,Positive,14,4.5
CL_0000775,neutrophil,IL10,cytokine,Positive,14,0.37
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",TGFB,cytokine,Negative,14,11.2
CL_0000084,T cell,LTA,cell,Positive,14,5.95
CL_0000540,neuron,IFNG,cell,Positive,14,0.89
CL_0000084,T cell,CXCL8,cytokine,Unknown,14,0.74
CL_0002328,bronchial epithelial cell,CXCL8,cell,Positive,14,28.64
CL_0000062,osteoblast,TGFB1,cytokine,Positive,14,3.65
CL_0000066,epithelial cell,IFNG,cytokine,Positive,14,0.64
CL_0000214,synovial cell,IL1B,cytokine,Positive,14,14.85
CL_0000625,"CD8-positive, alpha-beta T cell",IL21,cytokine,Unknown,14,15.9
CL_0000763,myeloid cell,CSF3,cytokine,Positive,14,10.34
CL_0000236,B cell,IL5,cytokine,Unknown,14,5.85
